taxa,PC1,PC2,PC3
T,-23.795018356118,-13.3021705289626,-2.04259639873875
T,-24.3729999550771,-14.9187040872562,-3.37519378579604
T,-24.6723406323395,-13.1790819764798,-2.94711760508699
T,-23.1750928939919,-2.73362528563005,-3.3973231618059
T,-21.9366120235383,0.485154137879143,-7.44813372978526
T,-26.9489361996117,-7.58839636363585,-5.07007470527761
T,-27.5615462969324,-7.94755074656466,-5.59155828340149
T,-22.0656287126658,-6.01212375875487,-1.75742697637457
T,-25.0195809589855,-18.4598442938327,-2.31956907651967
T,-26.5480759713281,-5.80736629392168,-7.70496308751293
T,-19.6528370147466,-16.6311357817142,1.19306699826801
T,-25.0348821068971,-3.21664288415588,-0.989183741977721
T,-24.7458055290895,-3.35035315469326,-1.94479364170259
T,-24.9898959896638,-8.83253923793362,-1.81418022089091
T,-23.9082551766267,-14.3439438517266,-2.04007194824696
T,-25.745176622725,-16.4368274890773,-1.59558781728161
C,-20.0633555028027,-13.0544796741572,2.16500099373808
T,-22.4335906090506,-2.93587373575935,-1.55876665259346
T,-22.144793893319,-0.49256207147264,-3.33660140550242
T,-26.3444539260057,-3.63147677401817,-6.36580093901248
T,-23.866096576765,-4.82617701337596,-4.85039899796234
T,-24.9452397358322,-9.4257575384242,-2.85984417668421
T,-24.4632922682745,-14.156747083498,-1.188401383429
T,-22.803577431618,-15.1721207859723,0.759455021975266
T,-24.3838392850434,-10.7280225835961,-1.46706567903846
T,-25.8999321864374,-10.6256139073493,-2.0559167008674
T,-19.1802740496255,-6.37376567939858,0.278229575302535
T,-19.7071138460161,-7.65889562777638,-3.65247955923556
T,-23.3984085416503,-12.4846089422978,1.36799596228096
Y,-20.7366444215629,-4.2941845425509,-3.21911668344127
T,-21.808385687381,-14.4013451115069,1.56514165503603
T,-26.5605144148442,-3.38084255622228,-5.89658070177528
T,-25.2054068012988,-11.5267028201952,-4.09597438763278
T,-24.5758917961357,-7.86591232652123,-1.25388592689271
T,-24.5611917391503,-0.119609101951402,-8.79001615349088
T,-25.2391766113557,-9.87818685380428,-5.01950923594938
T,-19.9219498296687,-1.04501241989314,-4.70561938242345
T,-24.7355983446621,-12.3992039175044,-3.50674187933541
T,-24.6719285017065,-9.23009205162972,-1.13166612437639
T,-23.2666711782451,-8.53219710490812,-0.290784086043851
T,-26.7937306036469,-12.139061158197,-3.28748321014925
T,-26.4197281749218,-0.55917765335313,-5.18576780399718
T,-24.2593695965893,-1.24790105025022,-3.47601320212457
T,-16.7200341135206,-6.37004477109008,-1.58700838066
T,-23.780399840171,-14.6866592358944,-0.30704858028739
T,-25.4262147870299,-17.0140381665881,-1.21887188678737
T,-25.2221148194463,-20.276744721581,-0.713217974379278
C,-23.8276822700408,-15.312547414538,-0.894944620831996
T,-20.3914225758706,-8.61844401542864,3.07419646958774
T,-21.7594177250175,-8.73522318847462,-0.86912147922754
T,-14.7500310048865,-7.04833734755475,2.79709614666614
T,-17.3768593537994,-8.16270420324238,2.2874885931583
T,-17.1666734474795,-7.66398334437987,1.36657870027777
C,-20.1513678641695,-8.90385161042799,1.0173514540386
T,-22.2127152002237,-14.9117394266905,2.47787244944942
T,-22.256018819831,-10.3557466617738,1.23041149060988
T,-18.9094845347364,-7.66289586075798,1.26509174911869
T,-24.3863923889781,-4.02441460530946,-4.50370114825791
T,-22.3221107051977,-3.83191068250285,-3.69700056724921
T,-19.8225139331263,-15.7702600865135,2.21497008107556
T,-26.0788989902462,-11.4061030774096,-4.44615547534612
T,-25.5679584139113,-11.1977636175051,-5.47162303630273
T,-26.0909345680467,-9.99231543599074,-6.79220126922734
T,-24.3664112266468,-11.0175159167794,-1.11473371869855
T,-25.028236660118,-3.92727055035846,-6.43531619052625
T,-25.4883994221415,-17.4946541439202,-1.8094120589804
T,-18.4438079005394,-5.85746652279011,-0.029901491637877
T,-21.3339450439691,-12.551528574742,-0.502244550202818
T,-19.2135717666988,-8.71620776367778,0.78537049352936
T,-17.8370898875835,-5.30484945580783,2.01090645995245
T,-17.9072427661913,-7.60180987030745,-0.234803569717566
T,-20.3374258284676,-7.46418696160575,-0.909501025807896
T,-17.818754366874,-11.3804042794798,1.47095046196029
T,-18.973142716648,-10.6509090271921,0.32621504327281
T,-17.5078347511395,-5.67447143301638,2.44957719709333
T,-16.7366799709942,-10.7206160436058,2.63335598982313
T,-17.9925205499426,-11.8385263690352,1.54566457484752
T,-22.7991677016475,-11.9190232200548,-0.0415786203233994
T,-23.6427142933004,-10.5454917554322,0.104639092476672
T,-23.7488831408865,-15.0137541736082,-2.16974856771279
T,-24.6019995915031,-1.37732162700912,-3.70817255095549
T,-24.9660892114484,0.472403916594665,-4.47623461847679
T,-19.7073067815011,-13.7398870943767,2.99594608719898
T,-19.7743740218992,-15.7997328541972,2.47605366329775
T,-23.662069520842,3.38873090017078,-4.04021545546938
T,-22.8378757916556,2.09599354862048,-5.74013513988419
T,-20.5721283723355,6.29783138870487,-3.70605411935435
T,-21.5492013014972,6.13765766513833,-4.1351577881015
T,-17.5758921952371,-5.94948453835688,-0.070082757816497
T,-19.7098788505469,-8.43929967296638,-1.4513741515253
T,-21.4415335096157,-5.73472422779063,0.802536676843099
T,-21.8929520362637,-6.2276227565404,0.538131824995849
T,-21.9288068722132,1.6221784492466,-6.06536734273316
T,-22.5428176851228,4.13541631433153,-5.75984551310159
T,-22.0842503408403,0.366704585300887,-3.08419289343557
T,-14.4165740411148,2.71150967431579,0.887679887570197
T,-21.1300948043997,2.75434120997165,-5.85790306384064
T,-19.535059810024,-12.6394258866094,1.38093051602368
T,-22.6455832474835,-2.76491136413721,1.93471137916043
C,-20.2635436652098,6.09388260062427,-3.18247579548158
T,-18.9586985652696,7.56573930190108,-2.00497320123764
T,-16.5972033962951,3.38984121113674,0.264027502308221
T,-24.2068572232465,-12.4431234842515,-3.40505701883853
T,-24.8252247641516,-6.85282215734291,-3.82814925010503
T,-23.3760320857918,-1.2261551734428,-0.67087189256144
T,-25.711047543489,-1.86819551379111,-6.29388220824359
T,-25.602778466685,-1.2873888370235,-6.53422890429397
