taxa,PC1,PC2,PC3
T,-19.7708991140043,-15.7335728505472,2.48827720456865
T,-23.6576470234993,3.41495104666972,-4.1518619002989
T,-22.8332906053978,2.09348599093486,-5.85230743150229
T,-20.5576881884149,6.26673441448402,-3.76481849787108
T,-21.5012553108085,6.16132148111271,-4.22128519351785
T,-17.5928954126333,-5.89796427439062,-0.0864560165599214
T,-19.6929341594937,-8.37250248855126,-1.43706563532684
T,-21.4797054467166,-5.73854081227686,0.759710031382897
T,-21.941932717933,-6.2499260656316,0.456551861494341
T,-21.8965073695887,1.67467918138883,-6.06466908863687
T,-22.5348717420314,4.11064674647287,-5.88022203618938
T,-22.0876268234183,0.380612289731042,-3.14838470266339
T,-14.4796198705133,2.7694985615511,0.900321623539023
T,-21.1227335855622,2.7358724911778,-5.89900278361499
T,-19.6012074926806,-12.5648057561339,1.47855715000653
T,-22.6419024359673,-2.82761107501452,1.86081580865274
C,-20.2513005683835,6.06725887321286,-3.31515245942413
T,-18.9584247065745,7.56578544252804,-2.09878049663605
T,-16.5970619417137,3.36038802202545,0.177373291749102
T,-24.2187343110599,-12.4003894637889,-3.36526647798186
T,-24.8220637222513,-6.89292344588261,-3.83720943781317
T,-23.3458503885147,-1.19995289539544,-0.684402832112277
T,-25.7053786218559,-1.89563353522359,-6.30505641655785
T,-25.5941533190036,-1.33256188370601,-6.54376292399197
T,-22.5203362044369,-6.92249886666655,-1.92543901062447
T,-23.1592668189316,-6.33699595244554,-1.52210939259611
T,-23.319729805153,-3.87261646784524,-1.33123974331779
T,-26.6660962157815,-3.0204565070898,-5.77036233343982
T,-16.909817505372,-1.61644924437304,-0.264623649265648
T,-19.7843797973538,-3.3929946090216,0.778797974720775
T,-22.7006420953248,-0.264003003823381,-4.19811076887992
T,-22.0012182910968,-4.70411647835054,-2.68076130839618
T,-24.1285416697218,-6.70062393524549,-3.26888621317121
T,-22.643934161288,-6.73653326962812,-0.876167476842994
T,-26.172535909653,-6.79065971074786,-5.82575674448802
T,-25.5869343473515,-8.72524736528579,-3.46100136354718
T,-24.3041384790021,0.985453784203877,-3.28826351701965
T,-19.8168583305644,-0.184628815273915,-1.87191577311419
T,-19.3090617373216,-0.121838769753028,-1.35109134720066
T,-21.5772075570553,-7.52411390896704,-0.471011514447956
T,-19.6651222853136,-6.7425586885548,1.71056756371942
T,-21.7934051211054,-4.63352851268613,1.65007823840234
T,-20.6642998250614,-8.77829038933979,0.958302323151116
T,-25.4400087769462,-2.75779877000341,-5.44840861844752
T,-24.36676908817,-9.80469686434102,-2.65311267915155
T,17.4859329684955,-0.0333661519899392,1.84550512911533
T,19.924645806778,-0.727928868827327,5.4268843155725
T,22.5808508799488,-1.35737413249709,2.24900648728178
T,22.7822348357471,-2.32271536900918,-0.863282329447278
T,26.9532982835573,-2.54003288281312,-4.39581158307633
T,25.2332770019382,-3.23312850268343,-5.75269000272167
T,22.0889073449078,-0.861385771922635,2.13590613315444
T,26.4244961906916,-3.39804738979646,-0.330019030156932
T,25.3508185819584,-0.485779289710485,-0.687804340074654
T,25.9266790929997,-1.55636527400132,-1.09864536307145
T,29.7910227231342,-1.19010705138264,-2.24683365041745
T,30.9137243524416,-1.72793299924473,-2.96767499952479
T,26.1129119991682,0.0888623538948731,0.830051177942685
T,27.8196364286881,-4.10457704519957,-4.41712295542538
T,30.0133636833644,-3.92601185009736,-4.61278815054449
T,29.2443716590819,-3.83912066615612,-3.54178351800751
T,26.8976178017372,-3.38238586976619,-3.6567321066112
T,26.1459772198178,-4.81485378385144,-4.43397193997096
T,29.5077456399326,-5.81684282747024,-4.76232507944025
T,14.9713916739134,-2.42496891233261,6.17685350371965
T,7.64269552860865,-1.59677472506889,13.681469846437
T,7.6602451582291,-0.724191555196596,12.9356954031262
T,27.6494539520831,-1.73110070592078,-2.23264383130643
T,8.36747517921071,-1.50170756296938,12.9705893024282
T,25.2737898590679,-1.8149608044478,-1.42295782052185
T,29.7749323265915,-3.52124472500442,-4.8823217953378
T,30.7694482291669,-6.04893791367299,-6.35796983517362
T,28.1965259082116,-6.1434208660665,-4.23706128040395
T,28.6904246336697,-4.85824907402012,-6.39974090910422
T,21.605277111381,-6.54121162234679,4.59587056109428
T,22.0508188449802,-4.75209477425623,4.12965313062408
T,24.2170583229601,-2.2122476323406,6.62404480613166
T,20.0772504960062,-1.43672266751059,3.17289006093675
T,26.7950067514609,-2.77928017823565,1.48662988386697
T,25.6422111784606,-3.53876047086547,-0.789820333545793
T,24.8817571476304,-3.97828426724543,2.51671394945392
T,21.9860970438725,-3.25075025653428,4.9960714746297
T,23.2041304946516,-3.80925184610591,0.398348211160743
T,20.6536316856278,-7.08404369580253,-0.199454030845635
T,28.535647373617,-2.31671049772272,-2.07888127414673
T,28.939632066631,-3.47229525426951,-1.82560589855276
T,29.9589451925731,-2.72784220610363,-2.92211190639967
T,29.066729409025,-2.41091044970335,-1.14297936298959
T,27.8302873013454,-2.79751202592499,-0.141016591088071
T,25.6535713247284,-2.08340499174052,-1.84375198660163
T,29.1397099611295,-2.38436243758697,-3.14936271774311
T,28.0129526192088,-3.03747447648067,-3.99445949135769
T,24.3235479836109,-2.67788708987358,-1.2754460718407
T,15.0307148069705,1.49930649530836,19.2414520567138
T,17.0170629276863,-1.32404425860206,16.5042822911011
T,17.9678084142954,-0.436964304121612,17.184395123884
T,17.5821114854686,-0.834660747339433,17.461289276858
T,20.092904551562,0.508281655789368,13.6612360686727
T,22.6834463942696,-0.00725275601755263,7.00375285179657
T,17.6960461029986,1.41752501142992,17.1942204781785
T,15.9221865274269,0.141643226288585,18.5259482098599
T,18.3207575650939,1.53578274871706,13.4173415948461
T,13.0951774238664,1.31713587390905,19.2859111804022
T,16.9340950377287,-0.0184133751059914,18.5927588993281
T,17.8684239071013,0.624326330591105,18.1637591982781
T,14.4010366609095,1.42752341246016,15.9967958996903
T,19.7754114566932,0.823182619491532,15.5434962603029
T,21.9153316839745,-0.912314471029035,12.3281394971939
T,14.9302055814625,-1.12699782344768,18.9136619595644
T,-2.84600653793708,0.821400890576636,24.3923064725947
T,0.760997295291379,4.27704728413899,28.0691715496187
T,16.7049044709651,0.0145408965825254,8.41575652374273
T,-0.640027093896714,2.96838800698173,27.6079452162049
T,20.6008059096035,-1.08648856224988,7.93522267227608
T,20.0720013467491,0.927115718456962,7.81498137714148
T,20.6170148316508,-0.302761335407141,2.61955008134583
T,21.0116456611786,-0.384616827653387,6.26749581755177
T,22.131592612552,0.238955314833815,6.68723159494113
T,19.0479825414383,-0.26462267930988,9.15973007269678
T,20.3975203328028,0.795323476455035,9.66338026238858
T,16.9029639190423,-0.500628891171298,8.04369426395367
T,-13.20885051043,3.7780187338128,17.7914148331303
T,-8.00007282625585,1.50244290598891,21.728012511577
T,-12.3176157151477,1.37477988131609,20.728941902627
T,-12.3657108335784,2.53033254777479,17.9803601182057
T,-8.45927493068812,3.16630092500299,21.3827287626822
T,-13.3994277462817,3.31318844712856,16.3312776556513
T,0.443783599534677,4.68721373197056,25.1498339554703
T,-5.6603314631178,3.47360684770316,23.7142590280884
T,-11.9472811930185,1.85207124552928,20.9560057526574
T,-11.4517158007764,2.13677855896101,20.2634459138308
